,Transaction Date,Description,Amount,Category,Bank
0,2024-08-28,COSTCO GAS #0778 FREMONT CA,32.24,,Citi
1,2024-08-27,WENDY'S 0020 FREMONT CA,8.82,,Citi
2,2024-08-25,SIZZLING LUNCH SAN JOSE CA,18.05,,Citi
3,2024-08-24,CHIPOTLE 2045 SAN JOSE CA,11.59,,Citi
4,2024-08-23,TST*BLAST AND BREW - SAN San Jose CA,92.66,,Citi
5,2024-08-23,INTERNET PAYMENT - THANK YOU,44.62,Payments and Credits,Discover
6,2024-08-22,AUTOPAY 240716105610556RAUTOPAY AUTO-PMT,,,Citi
7,2024-08-22,CHIPOTLE 3005 FREMONT CA,12.95,,Citi
8,2024-08-18,COSTCO WHSE #0778 FREMONT CA,29.97,,Citi
9,2024-08-18,COSTCO GAS #0778 FREMONT CA,24.75,,Citi
10,2024-08-18,COSTCO WHSE #0778 FREMONT CA,6.05,,Citi
11,2024-08-16,GEN - FREMONT FREMONT CA,37.1,,Citi
12,2024-08-16,COSTCO WHSE #0778 FREMONT CA,159.98,,Citi
13,2024-08-15,PHO HA NOI MILPITAS CA,56.13,,Citi
14,2024-08-14,CHIPOTLE 3005 FREMONT CA,12.24,,Citi
15,2024-08-13,PANDA EXPRESS #1936 SAN JOSE CA,13.13,,Citi
16,2024-08-13,H MART SAN JOSE LLC SAN JOSE CAAPPLE PAY ENDING IN 0143,15.29,Supermarkets,Discover
17,2024-08-11,PY *THE HALAL GUYS FREMONFREMONT CA,18.73,,Citi
18,2024-08-11,COSTCO WHSE #0778 FREMONT CA,80.64,,Citi
19,2024-08-10,COSTCO WHSE #0143 MOUNTAIN VIEWCA,5.99,,Citi
20,2024-08-09,Payment Thank You - Web,345.8,,Chase
21,2024-08-08,COSTCO GAS #0778 FREMONT CA,32.82,,Citi
22,2024-08-08,COSTCO WHSE #0778 FREMONT CA,8.25,,Citi
23,2024-08-08,COSTCO WHSE #0778 FREMONT CA,7.99,,Citi
24,2024-08-06,EPICUREAN GROUP AT XILINX,10.94,Dining,CO
25,2024-08-06,H MART DE ANZA LLC SAN JOSE CAAPPLE PAY ENDING IN 0143,5.17,Supermarkets,Discover
26,2024-08-03,TRADER JOE S #212 SAN JOSE CAAPPLE PAY ENDING IN 0143,21.93,Supermarkets,Discover
27,2024-07-31,PANDA EXPRESS #2957 P olo.com CA,9.7,,Citi
28,2024-07-31,McDonalds 13001,5.02,Dining,CO
29,2024-07-30,POTATO CORNER,7.75,Dining,CO
30,2024-07-30,COSTCO GAS #1004 SAN JOSE CA,29.66,,Citi
31,2024-07-28,MITSUWA MRKTPLACE SJ SAN JOSE CAAPPLE PAY ENDING IN 0143,2.23,Supermarkets,Discover
32,2024-07-27,OBAITORI MILPITAS CA,100.0,,Citi
33,2024-07-27,TEA COUNTRY INC,4.75,Dining,CO
34,2024-07-27,TOFU PLUS. CUPERTINO CA,22.73,,Citi
35,2024-07-26,SQ *ZERO& TEA AND BOBA,16.81,Dining,CO
36,2024-07-25,Online payment from CHK 3318,855.32,,BOA
37,2024-07-25,TST* PARIS BAGUETTE - SAN,7.98,Dining,CO
38,2024-07-24,Payment Thank You-Mobile,850.63,,Chase
39,2024-07-24,SQ *PHILZ COFFEE,6.6,Dining,CO
40,2024-07-24,CAPITAL ONE AUTOPAY PYMT,,Payment/Credit,CO
41,2024-07-23,INTERNET PAYMENT - THANK YOU,184.91,Payments and Credits,Discover
42,2024-07-22,COSTCO GAS #1004 SAN JOSE CA,28.5,,Citi
43,2024-07-22,AUTOPAY 240716105610556RAUTOPAY AUTO-PMT,,,Citi
44,2024-07-21,AMAZON MKTPL*RJ3F490C2,68.21,Shopping,Chase
45,2024-07-20,COSTCO WHSE #0423 SUNNYVALE CA,11.99,,Citi
46,2024-07-20,TOMISUSHI SAN JOSE CA,88.43,,Citi
47,2024-07-20,SMART TEA,14.33,Dining,CO
48,2024-07-20,AMAZON MKTPL*RJ4VO5J80,3.71,Shopping,Chase
49,2024-07-19,WHOLEFDS STZ 10329,3.09,Merchandise,CO
50,2024-07-18,MCDONALD'S F17454,8.94,Dining,CO
51,2024-07-15,AMAZON MKTPL*RY7175R02 Amzn.com/billWA,4.4,,BOA
52,2024-07-15,COSTCO WHSE #0778 FREMONT CA,40.98,,Citi
53,2024-07-15,COSTCO GAS #0778 FREMONT CA,32.0,,Citi
54,2024-07-15,COSTCO WHSE #0778 FREMONT CA,6.05,,Citi
55,2024-07-13,CVS/PHARMACY #09257,33.52,Health Care,CO
56,2024-07-13,COSTCO GAS #0423 SUNNYVALE CA,35.0,,Citi
57,2024-07-13,LION FOOD CENTER SAN JOSE CAAPPLE PAY ENDING IN 0143,37.53,Supermarkets,Discover
58,2024-07-12,CLOVER BAKERY & CAFE,17.25,Dining,CO
59,2024-07-12,AMAZON MKTPL*RY3XN00G1 Amzn.com/billWA,49.6,,BOA
60,2024-07-12,MCDONALD'S F778,7.79,Dining,CO
61,2024-07-12,AMAZON.COM*RY80S30K1 SEATTLE WA,82.67,,BOA
62,2024-07-12,CHIPOTLE 1716,11.91,Dining,CO
63,2024-07-10,MCDONALD'S F380,6.59,Dining,CO
64,2024-07-10,AMAZON MKTPL*RY13G1F51 Amzn.com/billWA,49.6,,BOA
65,2024-07-08,INTERNET PAYMENT - THANK YOU,37.35,Payments and Credits,Discover
66,2024-07-07,COSTCO WHSE #0778 FREMONT CA,101.91,,Citi
67,2024-07-07,AMAZON MKTPLACE PMTS,19.83,Shopping,Chase
68,2024-07-07,COSTCO WHSE #0778 FREMONT CA,3.85,,Citi
69,2024-07-07,TST* DIN TAI FUNG - VALLESANTA CLARA CA,75.81,,Citi
70,2024-07-07,COSTCO GAS #0778 FREMONT CA,28.9,,Citi
71,2024-07-06,ATI9129-070659151,27.38,Entertainment,Chase
72,2024-07-05,STARBUCKS 800-782-7282,10.0,Dining,CO
73,2024-07-05,AMAZON MKTPL*R74182VS2,24.2,Shopping,Chase
74,2024-07-05,CHIPOTLE 1416,12.14,Dining,CO
75,2024-07-05,TST* PARIS BAGUETTE - MIS,19.07,Dining,CO
76,2024-07-04,TRADER JOE S #077 FREMONT CAAPPLE PAY ENDING IN 0143,6.98,Supermarkets,Discover
77,2024-07-04,TARGET 00014225091 FREMONT CAAPPLE PAY ENDING IN 0143,1.44,Supermarkets,Discover
78,2024-07-03,SQ *CAFE #65128 WESTFIELD,3.69,Dining,CO
79,2024-07-03,99 RANCH #1701 FREMONT CAAPPLE PAY ENDING IN 0143,33.93,Supermarkets,Discover
80,2024-07-03,AMAZON MKTPL*R78NZ2NX2,59.83,Shopping,Chase
81,2024-07-02,UBER   EATS,10.72,Dining,CO
82,2024-07-01,PAYMENT - THANK YOU,14.99,,BOA
83,2024-07-01,AMAZON MKTPL*RC66X29A2,42.66,Shopping,Chase
84,2024-07-01,AMAZON MKTPL*RC8HP9U71,29.74,Shopping,Chase
85,2024-07-01,BATH AND BODY WORKS#5671 FREMONT CAAPPLE PAY ENDING IN 0143,53.02,Merchandise,Discover
86,2024-06-29,COSTCO GAS #0778 FREMONT CA,33.0,,Citi
87,2024-06-29,SHELL OIL 57444212500 FREMONT CA,9.0,,Citi
88,2024-06-29,TARGET 00026153 FREMONT CA,39.94,,Citi
89,2024-06-29,BRIAN BLACK TEA FREMONT CA,7.88,,Citi
90,2024-06-29,CAFE MEI.,12.13,Food & Drink,Chase
91,2024-06-29,BOILING POINT- FREMONT,52.53,Food & Drink,Chase
92,2024-06-28,YOKEE MILK TEA (FREMON,8.27,Food & Drink,Chase
93,2024-06-27,JULIES NOODLE,17.14,Food & Drink,Chase
94,2024-06-27,168 MARKET #1703 FREMONT CA,1.49,,Citi
95,2024-06-25,UNION 76 FREMONT CAAPPLE PAY ENDING IN 0143,20.01,Gasoline,Discover
96,2024-06-25,TST* DIN TAI FUNG - VALLE,39.55,Food & Drink,Chase
97,2024-06-25,TST* SHIHLIN TAIWAN STREE,9.84,Food & Drink,Chase
98,2024-06-24,DLR LIGHTNING/GENIE 714-781-4669 CA,60.0,,BOA
99,2024-06-24,CAPITAL ONE AUTOPAY PYMT,,Payment/Credit,CO
100,2024-06-23,SHERATON GARDEN GROVE,72.0,Lodging,CO
101,2024-06-23,IN-N-OUT ORANGE 2,5.82,Food & Drink,Chase
102,2024-06-23,COSTCO GAS #0122 TUSTIN CA,15.44,,Citi
103,2024-06-23,EREWHON LOS ANGELES CA,5.81,,Citi
104,2024-06-23,SQ *CAFE #65117 IRVINE SP,3.5,Dining,CO
105,2024-06-23,SQ *YUK DAE JANG IRVINE,47.5,Food & Drink,Chase
